HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,query,query_id,description,narrative,document_url,document_id,gold_standard,user_feedback,user_rationale,user_relevance,Approve,Reject
3LG268AV38ELC4L3KYJ1IA1L04YERP,3KIFW8VYC9WMJF2NQ7J3WNNE17TPBH,Relevant or Not?,Help us improve search engines! Decide if pages are relevant or not relevant for a query.,"relevance, judgments, web, query, search, fun",$0.11,Sun Feb 14 12:38:54 PST 2016,8,BatchId:2269341;,3600,21600,Mon Feb 22 12:38:54 PST 2016,,,3137ONMDKHDXAYAJUPUR7QIYZN9EGB,A1HV2V9M87ZTM9,Submitted,Sun Feb 14 17:29:15 PST 2016,Sun Feb 14 17:30:24 PST 2016,Sun Feb 14 23:30:24 PST 2016,,,,69,100% (26/26),100% (26/26),0% (0/0),dogs for adoption,20038,I want to adopt a dog.  Where can I do that and what should I know?,"I want to find information on adopting a dog. This includes names and locations of rescue organizations or vehicles (e.g. classifieds) as well as documents with info on qualifications, fees (if any), what to expect, resources, etc.  Organizations may be rescue organizations, pounds, shelters, etc. but not breeders or pet shops, unless the pet shop runs adoption fairs.  A site that provides general information about dog adoption is also relevant. If it has a lot of specific information and guidance it may be highly relevant.",http://fresno.adoos.us/l/pet,clueweb09-en0001-19-27388,0,{},"Get Adoos for your mobile phone

Use your phone to buy and sell in your local area.
Easy photo uploads, real-time chat with buyers and sellers, find everything close to you.",0,,
3LG268AV38ELC4L3KYJ1IA1L04YERP,3KIFW8VYC9WMJF2NQ7J3WNNE17TPBH,Relevant or Not?,Help us improve search engines! Decide if pages are relevant or not relevant for a query.,"relevance, judgments, web, query, search, fun",$0.11,Sun Feb 14 12:38:54 PST 2016,8,BatchId:2269341;,3600,21600,Mon Feb 22 12:38:54 PST 2016,,,37M28K1J0RL4BNJ8MQD88KKN6ZLJAG,AC8FP6TWJOR9E,Approved,Sun Feb 14 13:02:30 PST 2016,Sun Feb 14 13:03:20 PST 2016,Sun Feb 14 19:03:20 PST 2016,Sun Feb 14 16:31:25 PST 2016,,,50,100% (7/7),100% (7/7),100% (7/7),dogs for adoption,20038,I want to adopt a dog.  Where can I do that and what should I know?,"I want to find information on adopting a dog. This includes names and locations of rescue organizations or vehicles (e.g. classifieds) as well as documents with info on qualifications, fees (if any), what to expect, resources, etc.  Organizations may be rescue organizations, pounds, shelters, etc. but not breeders or pet shops, unless the pet shop runs adoption fairs.  A site that provides general information about dog adoption is also relevant. If it has a lot of specific information and guidance it may be highly relevant.",http://fresno.adoos.us/l/pet,clueweb09-en0001-19-27388,0,{},"Get Adoos for your mobile phone

Use your phone to buy and sell in your local area.
Easy photo uploads, real-time chat with buyers and sellers, find everything close to you.",0,,
3LG268AV38ELC4L3KYJ1IA1L04YERP,3KIFW8VYC9WMJF2NQ7J3WNNE17TPBH,Relevant or Not?,Help us improve search engines! Decide if pages are relevant or not relevant for a query.,"relevance, judgments, web, query, search, fun",$0.11,Sun Feb 14 12:38:54 PST 2016,8,BatchId:2269341;,3600,21600,Mon Feb 22 12:38:54 PST 2016,,,39GAF6DQWS8H8U627WYY072EXSN1VW,ABF3ITT2M64ZM,Approved,Sun Feb 14 13:03:36 PST 2016,Sun Feb 14 13:05:01 PST 2016,Sun Feb 14 19:05:01 PST 2016,Sun Feb 14 16:31:25 PST 2016,,,85,100% (9/9),100% (9/9),100% (9/9),dogs for adoption,20038,I want to adopt a dog.  Where can I do that and what should I know?,"I want to find information on adopting a dog. This includes names and locations of rescue organizations or vehicles (e.g. classifieds) as well as documents with info on qualifications, fees (if any), what to expect, resources, etc.  Organizations may be rescue organizations, pounds, shelters, etc. but not breeders or pet shops, unless the pet shop runs adoption fairs.  A site that provides general information about dog adoption is also relevant. If it has a lot of specific information and guidance it may be highly relevant.",http://fresno.adoos.us/l/pet,clueweb09-en0001-19-27388,0,{},"Get Adoos for your mobile phone   Use your phone to buy and sell in your local area.  Easy photo uploads, real-time chat with buyers and sellers, find everything close to you.",0,,
3LG268AV38ELC4L3KYJ1IA1L04YERP,3KIFW8VYC9WMJF2NQ7J3WNNE17TPBH,Relevant or Not?,Help us improve search engines! Decide if pages are relevant or not relevant for a query.,"relevance, judgments, web, query, search, fun",$0.11,Sun Feb 14 12:38:54 PST 2016,8,BatchId:2269341;,3600,21600,Mon Feb 22 12:38:54 PST 2016,,,3A1COHJ8NK3U1TV31SQ90GYD3JH8HW,A1HEUX7S8HBZWT,Approved,Sun Feb 14 12:50:37 PST 2016,Sun Feb 14 12:53:28 PST 2016,Sun Feb 14 18:53:28 PST 2016,Sun Feb 14 16:31:25 PST 2016,,,171,100% (10/10),100% (10/10),100% (10/10),dogs for adoption,20038,I want to adopt a dog.  Where can I do that and what should I know?,"I want to find information on adopting a dog. This includes names and locations of rescue organizations or vehicles (e.g. classifieds) as well as documents with info on qualifications, fees (if any), what to expect, resources, etc.  Organizations may be rescue organizations, pounds, shelters, etc. but not breeders or pet shops, unless the pet shop runs adoption fairs.  A site that provides general information about dog adoption is also relevant. If it has a lot of specific information and guidance it may be highly relevant.",http://fresno.adoos.us/l/pet,clueweb09-en0001-19-27388,0,"hi,
I marked this one as Irrelevant since the site came up as an ad to trade in your cell phone. Not certain if that should have been a Page Load error, though, since the page loaded had nothing to do with dog adoptions or dogs. Could you clarify the difference between Irrelevant and Page Load error a bit more?
thanks","Get Adoos for your mobile phone

Use your phone to buy and sell in your local area.
Easy photo uploads, real-time chat with buyers and sellers, find everything close to you.
Telephone number:  
+1 (123) 123-1234
  Send me the app",0,,
3LG268AV38ELC4L3KYJ1IA1L04YERP,3KIFW8VYC9WMJF2NQ7J3WNNE17TPBH,Relevant or Not?,Help us improve search engines! Decide if pages are relevant or not relevant for a query.,"relevance, judgments, web, query, search, fun",$0.11,Sun Feb 14 12:38:54 PST 2016,8,BatchId:2269341;,3600,21600,Mon Feb 22 12:38:54 PST 2016,,,3SKRO2GZ72Z3SJCQ8SKRYYRXHUG1KA,AK7U41KDD6VJQ,Approved,Sun Feb 14 13:01:04 PST 2016,Sun Feb 14 13:24:34 PST 2016,Sun Feb 14 19:24:34 PST 2016,Sun Feb 14 16:31:25 PST 2016,,,1410,100% (18/18),100% (18/18),100% (18/18),dogs for adoption,20038,I want to adopt a dog.  Where can I do that and what should I know?,"I want to find information on adopting a dog. This includes names and locations of rescue organizations or vehicles (e.g. classifieds) as well as documents with info on qualifications, fees (if any), what to expect, resources, etc.  Organizations may be rescue organizations, pounds, shelters, etc. but not breeders or pet shops, unless the pet shop runs adoption fairs.  A site that provides general information about dog adoption is also relevant. If it has a lot of specific information and guidance it may be highly relevant.",http://fresno.adoos.us/l/pet,clueweb09-en0001-19-27388,0,Yes I Enjoyed Doing This,"This URL Talks About Mobile Phone Nothing in it abot dogs for adoption.
Get Adoos for your mobile phone
Use your phone to buy and sell in your local area.",0,,
3LG268AV38ELC4L3KYJ1IA1L04YERP,3KIFW8VYC9WMJF2NQ7J3WNNE17TPBH,Relevant or Not?,Help us improve search engines! Decide if pages are relevant or not relevant for a query.,"relevance, judgments, web, query, search, fun",$0.11,Sun Feb 14 12:38:54 PST 2016,8,BatchId:2269341;,3600,21600,Mon Feb 22 12:38:54 PST 2016,,,3TXMY6UCAFW9QPKJ1UT8BGMXKX0QCI,A17LSINELZPCMD,Approved,Sun Feb 14 13:49:44 PST 2016,Sun Feb 14 13:50:01 PST 2016,Sun Feb 14 19:50:01 PST 2016,Sun Feb 14 16:31:25 PST 2016,,,17,100% (17/17),100% (17/17),100% (17/17),dogs for adoption,20038,I want to adopt a dog.  Where can I do that and what should I know?,"I want to find information on adopting a dog. This includes names and locations of rescue organizations or vehicles (e.g. classifieds) as well as documents with info on qualifications, fees (if any), what to expect, resources, etc.  Organizations may be rescue organizations, pounds, shelters, etc. but not breeders or pet shops, unless the pet shop runs adoption fairs.  A site that provides general information about dog adoption is also relevant. If it has a lot of specific information and guidance it may be highly relevant.",http://fresno.adoos.us/l/pet,clueweb09-en0001-19-27388,0,Yes.,"Get Adoos for your mobile phone

Use your phone to buy and sell in your local area.
Easy photo uploads, real-time chat with buyers and sellers, find everything close to you.",0,,
3LG268AV38ELC4L3KYJ1IA1L04YERP,3KIFW8VYC9WMJF2NQ7J3WNNE17TPBH,Relevant or Not?,Help us improve search engines! Decide if pages are relevant or not relevant for a query.,"relevance, judgments, web, query, search, fun",$0.11,Sun Feb 14 12:38:54 PST 2016,8,BatchId:2269341;,3600,21600,Mon Feb 22 12:38:54 PST 2016,,,3VE8AYVF8N5ANX4X6229XVM0N44F85,AULI5BTCUDNG8,Approved,Sun Feb 14 12:45:28 PST 2016,Sun Feb 14 12:46:38 PST 2016,Sun Feb 14 18:46:38 PST 2016,Sun Feb 14 16:31:25 PST 2016,,,70,100% (4/4),100% (4/4),100% (4/4),dogs for adoption,20038,I want to adopt a dog.  Where can I do that and what should I know?,"I want to find information on adopting a dog. This includes names and locations of rescue organizations or vehicles (e.g. classifieds) as well as documents with info on qualifications, fees (if any), what to expect, resources, etc.  Organizations may be rescue organizations, pounds, shelters, etc. but not breeders or pet shops, unless the pet shop runs adoption fairs.  A site that provides general information about dog adoption is also relevant. If it has a lot of specific information and guidance it may be highly relevant.",http://fresno.adoos.us/l/pet,clueweb09-en0001-19-27388,0,yes,"Get Adoos for your mobile phone

Use your phone to buy and sell in your local area.
Easy photo uploads, real-time chat with buyers and sellers, find everything close to you.

This webpage is about mobile phones",0,,
3LG268AV38ELC4L3KYJ1IA1L04YERP,3KIFW8VYC9WMJF2NQ7J3WNNE17TPBH,Relevant or Not?,Help us improve search engines! Decide if pages are relevant or not relevant for a query.,"relevance, judgments, web, query, search, fun",$0.11,Sun Feb 14 12:38:54 PST 2016,8,BatchId:2269341;,3600,21600,Mon Feb 22 12:38:54 PST 2016,,,3VW04L3ZLUEH2KWQE4KNJ130II9XXM,A3BP890CXV4UMN,Approved,Sun Feb 14 13:16:28 PST 2016,Sun Feb 14 13:17:13 PST 2016,Sun Feb 14 19:17:13 PST 2016,Sun Feb 14 16:31:25 PST 2016,,,45,100% (5/5),100% (5/5),100% (5/5),dogs for adoption,20038,I want to adopt a dog.  Where can I do that and what should I know?,"I want to find information on adopting a dog. This includes names and locations of rescue organizations or vehicles (e.g. classifieds) as well as documents with info on qualifications, fees (if any), what to expect, resources, etc.  Organizations may be rescue organizations, pounds, shelters, etc. but not breeders or pet shops, unless the pet shop runs adoption fairs.  A site that provides general information about dog adoption is also relevant. If it has a lot of specific information and guidance it may be highly relevant.",http://fresno.adoos.us/l/pet,clueweb09-en0001-19-27388,0,{},"Get Adoos for your mobile phone

Use your phone to buy and sell in your local area.
Easy photo uploads, real-time chat with buyers and sellers, find everything close to you.",0,,
3MG8450X2OIHPN2AX6UHHXN9LA4UPU,3KIFW8VYC9WMJF2NQ7J3WNNE17TPBH,Relevant or Not?,Help us improve search engines! Decide if pages are relevant or not relevant for a query.,"relevance, judgments, web, query, search, fun",$0.11,Sun Feb 14 12:38:54 PST 2016,8,BatchId:2269341;,3600,21600,Mon Feb 22 12:38:54 PST 2016,,,30LB5CDZNDIYAPQUCAJ178W0GCSZ0Y,A1HV2V9M87ZTM9,Submitted,Sun Feb 14 17:17:31 PST 2016,Sun Feb 14 17:19:46 PST 2016,Sun Feb 14 23:19:46 PST 2016,,,,135,100% (26/26),100% (26/26),0% (0/0),dogs for adoption,20038,I want to adopt a dog.  Where can I do that and what should I know?,"I want to find information on adopting a dog. This includes names and locations of rescue organizations or vehicles (e.g. classifieds) as well as documents with info on qualifications, fees (if any), what to expect, resources, etc.  Organizations may be rescue organizations, pounds, shelters, etc. but not breeders or pet shops, unless the pet shop runs adoption fairs.  A site that provides general information about dog adoption is also relevant. If it has a lot of specific information and guidance it may be highly relevant.",http://all-creatures.org/wm/adopt.html,clueweb09-en0000-42-06598,0,{},"abuse, adopt, adoption, animal, animals, association, bacon, belly, bellied, boar, cat, cats, chop, chops, companion, dog, dogs, farm, factory, ham, hog, hogs,  mercy, pet, pets, pig, pigs, piggy, piggies, pork, pot, rescue, rescuing, sanctuary, sanctuaries,",1,,
3MG8450X2OIHPN2AX6UHHXN9LA4UPU,3KIFW8VYC9WMJF2NQ7J3WNNE17TPBH,Relevant or Not?,Help us improve search engines! Decide if pages are relevant or not relevant for a query.,"relevance, judgments, web, query, search, fun",$0.11,Sun Feb 14 12:38:54 PST 2016,8,BatchId:2269341;,3600,21600,Mon Feb 22 12:38:54 PST 2016,,,33TIN5LC05IG1T42GK0BMCORDMHY9H,A24Q32FDY4RX5T,Approved,Sun Feb 14 16:21:49 PST 2016,Sun Feb 14 16:22:19 PST 2016,Sun Feb 14 22:22:19 PST 2016,Sun Feb 14 16:31:25 PST 2016,,,30,100% (2/2),100% (2/2),100% (2/2),dogs for adoption,20038,I want to adopt a dog.  Where can I do that and what should I know?,"I want to find information on adopting a dog. This includes names and locations of rescue organizations or vehicles (e.g. classifieds) as well as documents with info on qualifications, fees (if any), what to expect, resources, etc.  Organizations may be rescue organizations, pounds, shelters, etc. but not breeders or pet shops, unless the pet shop runs adoption fairs.  A site that provides general information about dog adoption is also relevant. If it has a lot of specific information and guidance it may be highly relevant.",http://all-creatures.org/wm/adopt.html,clueweb09-en0000-42-06598,0,"Yes, I enjoy rating the relevancy of search result. 

The instruction stated ""how relevant the web site is to the Search Query"", I am a bit confuse on whether I should rate the linked page only or should I evaluate the whole web site.","""Formerly Wings of Mercy Animal Rescue
 Spreading Compassion through: 
 Rescue, Education, Activism ""

This page shows a list of animals that are available for adoption. However, this organization seems to cater more to adoption of farm animals such as pigs or chickens and there is only 1 pig currently available for adoption. There are not many information about adoption on the website.",1,,
